title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Hello again! llm-powered personalized agent for long-term dialogue,"H Li, C Yang, A Zhang, Y Deng, X Wang…",2025,171,"… a model-agnostic framework, the Long-term Dialogue Agent (LD… to event perception, persona extraction, and response gen… conducts dynamic persona modeling for both users and …",8ERNZrZt_NgJ,"H Li, C Yang, A Zhang, Y Deng, X Wang… - Proceedings of the …, 2025 - aclanthology.org",[],https://aclanthology.org/2025.naacl-long.272/,unknown,unknown
Faithful persona-based conversational dataset generation with large language models,"P Jandaghi, XH Sheng, X Bai, J Pujara…",2024,108,"… We begin by defining the personabased dialogue generation … profile π, we prompt the LLM to create the negated persona … We evaluate the task of user profile extraction for …",2ZPn6hGISacJ,"P Jandaghi, XH Sheng, X Bai, J Pujara… - Proceedings of the …, 2024 - aclanthology.org",[],https://aclanthology.org/2024.nlp4convai-1.8/,unknown,unknown
From personas to talks: Revisiting the impact of personas on llm-synthesized emotional support conversations,"S Wu, Y Zhu, W Hsu, ML Lee…",2025,40,"… LLM-generated emotional support dialogues and persona … Specifically, we propose a LLM-based simulation framework … the user persona traits from these ESC data, we extract age, …",fW9tUDJaDJkJ,"S Wu, Y Zhu, W Hsu, ML Lee… - Proceedings of the 2025 …, 2025 - aclanthology.org",[],https://aclanthology.org/2025.emnlp-main.277/,unknown,unknown
A survey on llm-based conversational user simulation,"B Ni, Y Wang, L Wang, B Kveton…",2026,15,"… denotes the conversation history up to turn t−1, Ψp is the persona description associated … We categorize commonly used user simulation datasets across dialogue types, with a summary …",pxY_sCW52GgJ,"B Ni, Y Wang, L Wang, B Kveton… - Proceedings of the …, 2026 - aclanthology.org",[],https://aclanthology.org/2026.eacl-long.200/,unknown,unknown
"Know me, respond to me: Benchmarking llms for dynamic user profiling and personalized responses at scale","B Jiang, Z Hao, YM Cho, B Li, Y Yuan, S Chen…",2025,148,"… ’s profile from the conversation histories, we evaluate LLMs … -situ user queries, where the user issues the query to LLM in … on personas as simulated humans in usermodel interactions, …",yMIENLLIMogJ,"B Jiang, Z Hao, YM Cho, B Li, Y Yuan, S Chen… - arXiv preprint arXiv …, 2025 - arxiv.org",[],https://arxiv.org/abs/2504.14225,unknown,unknown
Beyond simple personas: Evaluating LLMs and relevance models for character-consistent dialogue,"D Pal, D Traum",2025,6,"… persona narrative using an LLM-based summarization prompt (Appendix B). Specifically, we prompt the LLM … This section describes the prompts used to extract subject-predicate-object …",hmYGaLZB2vQJ,"D Pal, D Traum - … Interest Group on Discourse and Dialogue, 2025 - aclanthology.org",[],https://aclanthology.org/2025.sigdial-1.31/,unknown,unknown
A persona-aware LLM-enhanced framework for multi-session personalized dialogue generation,"D Liu, Z Wu, D Song, HY Huang",2025,22,"… model (LLM) as the dialogue generator. To address the aforementioned challenges, we propose a Persona-Aware LLM-… Based on triples extracted in dialogues and linked triples from …",DfJ4svpqieYJ,"D Liu, Z Wu, D Song, HY Huang - Findings of the Association for …, 2025 - aclanthology.org",[],https://aclanthology.org/2025.findings-acl.5/,unknown,unknown
Persona-Aware Alignment of LLMs Using Synthetic Dialogue Data,A Martin,2025,0,… multi-turn dialogue. This work contributes a reproducible alignment pipeline for personasensitive LLM … User modeling and persona adaptation have become key research areas in the …,MkiP4zYNUxcJ,A Martin - 2025.sacair.org.za,[],https://2025.sacair.org.za/online-proceedings/Papers/paper_63.pdf,unknown,unknown
Large Language Model based Dialogue Embeddings for User Modeling,I Westerlund,2025,0,… effective LLM-based methods for generating user models in … -encoder models for user specific context extraction. These … pairing LLM dialogue transcripts with detailed user persona …,jpYYg1x4ZGsJ,I Westerlund - 2025 - aaltodoc.aalto.fi,[],https://aaltodoc.aalto.fi/items/558f2de8-28f8-4cd5-9abc-f5e08c3c7256,unknown,unknown
SensorPersona: An LLM-Empowered System for Continual Persona Extraction from Longitudinal Mobile Sensor Streams,"B Yang, L Xu, Y Li, K Liu, X Jiang, Z Yan",2026,3,"… cues (eg, personal information explicitly provided by the user). However… persona extraction for chatbots and LLM agents remain confined to what users explicitly express in conversation […",QhOeOWLKVnEJ,"B Yang, L Xu, Y Li, K Liu, X Jiang, Z Yan - arXiv preprint arXiv:2604.06204, 2026 - arxiv.org",[],https://arxiv.org/abs/2604.06204,unknown,unknown
