title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Retrieval-augmented generation for knowledge-intensive nlp tasks,"P Lewis, E Perez, A Piktus, F Petroni…",2020,27620,"… A key feature of our memory is that it is comprised of raw text rather distributed representations, which makes the … A retrieve-and-edit framework for predicting structured outputs. …",yZekOQyLNpQJ,"P Lewis, E Perez, A Piktus, F Petroni… - Advances in neural …, 2020 - proceedings.neurips.cc",[],https://proceedings.neurips.cc/paper_files/paper/2020/hash/6b493230-Abstract.html,unknown,unknown
Toward structured knowledge reasoning: Contrastive retrieval-augmented generation on experience,"J Gu, Z Xian, Y Xie, Y Liu, E Liu, R Zhong…",2025,11,"… pre-training and rigid text-to-structure transfer mechanisms. Unlike humans who … Retrieval-Augmented Generation on Experience (CoRE), a framework that builds experience …",F6z05AfrpQUJ,"J Gu, Z Xian, Y Xie, Y Liu, E Liu, R Zhong… - Findings of the …, 2025 - aclanthology.org",[],https://aclanthology.org/2025.findings-acl.1224/,unknown,unknown
Adaptive Retrieval-Augmented Generation (RAG) for Structured Clinical Notes from Patient–Provider Transcripts: A Multilingual Study,"MN Shoumi, K Harada, H Oshita, S Sakashita…",2026,0,… adjustable loss in data retrieval recall for sublinear query time and lower memory usage and can … Raw transcripts of clinical interaction were used both as queries for retrieval and as the …,q4gIy_Z-PCMJ,"MN Shoumi, K Harada, H Oshita, S Sakashita… - …, 2026 - mdpi.com",[],https://www.mdpi.com/2673-7426/6/4/47,unknown,unknown
Retrieval and structuring augmented generation with large language models,"P Jiang, S Ouyang, Y Jiao, M Zhong, R Tian…",2025,40,… RocketQA [147] improved contrastive training with cross-batch memory for more diverse … -trained language models (PLMs) to translate raw text into structured knowledge. TagReal [62] …,-BO-LMwydS4J,"P Jiang, S Ouyang, Y Jiao, M Zhong, R Tian… - Proceedings of the 31st …, 2025 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3711896.3736557,unknown,unknown
Hippocampo-neocortical interaction as compressive retrieval-augmented generation,"E Spens, N Burgess",2026,2,"… semantic memory as ‘retrieval-augmented generation’, explaining consolidation of structure … The Naturalistic Free Recall Dataset (NFRD 19 ) consists of transcripts for four stories …",2448rXE1jVEJ,"E Spens, N Burgess - Nature Communications, 2026 - pmc.ncbi.nlm.nih.gov",[],https://pmc.ncbi.nlm.nih.gov/articles/PMC13447824/,unknown,unknown
A survey of graph retrieval-augmented generation for customized large language models,"Q Zhang, S Chen, Y Bei, Z Yuan, H Zhou…",2025,290,"… retrieval with multihop reasoning ability, and (iii) structure-… as index tools to retrieve relevant raw texts from the corpus, … high-quality pre-encoded memory representations. Innovative …",qFJo1x48KhMJ,"Q Zhang, S Chen, Y Bei, Z Yuan, H Zhou… - arXiv preprint arXiv …, 2025 - arxiv.org",[],https://arxiv.org/abs/2501.13958,unknown,unknown
Optimizing open-domain question answering with graph-based retrieval augmented generation,"J Cahoon, P Singh, N Litombe, J Larson…",2025,7,… TREX's hierarchical structure and multi-hop retrieval … into gists while maintaining a memory directory to facilitate recall … metrics for both single-transcript and multi-transcript queries. Its …,EbAoL1qFSrUJ,"J Cahoon, P Singh, N Litombe, J Larson… - Proceedings of the 1st …, 2025 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3737412.3743489,unknown,unknown
Wavrag: Audio-integrated retrieval augmented generation for spoken dialogue models,"Y Chen, S Ji, H Wang, Z Wang, S Chen…",2025,39,"… audio information, risks transcription errors, and increases com… directly processes raw audio for both embedding and retrieval. … precision to optimize GPU memory usage; all experiments …",8f_2D2Nxd1UJ,"Y Chen, S Ji, H Wang, Z Wang, S Chen… - Proceedings of the …, 2025 - aclanthology.org",[],https://aclanthology.org/2025.acl-long.613/,unknown,unknown
Videorag: Retrieval-augmented generation with extreme long-context videos,"X Ren, L Xu, L Xia, S Wang, D Yin…",2026,82,"… each chunk’s caption-transcript pairs through LLMs to identify … First, raw data is meticulously processed and structured into … Memorag: Moving towards next-gen rag via memory-inspired …",TTa-Aw_tRokJ,"X Ren, L Xu, L Xia, S Wang, D Yin… - Proceedings of the 32nd …, 2026 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3770854.3783944,unknown,unknown
Structured Retrieval-Augmented Generation for Enterprise Knowledge Management,U Piccardi,2025,1,"… memory or summary of the corpus, which is useful for very broad or exploratory queries. In this way, rather than retrieve dozens of raw … into a single executable script and expand data …",BZv3DRMneccJ,U Piccardi - 2025 - webthesis.biblio.polito.it,[],https://webthesis.biblio.polito.it/38769/,unknown,unknown
"A systematic literature review of retrieval-augmented generation: Techniques, metrics, and challenges","A Brown, M Roman, B Devereux",2025,76,"… The review process was structured into three main phases: Identification, … A Python script converted BibTeX files into Excel format, … retrievalaugmented generator with a memory selector. …",8UXn2s9PV0gJ,"A Brown, M Roman, B Devereux - arXiv preprint arXiv:2508.06401, 2025 - arxiv.org",[],https://arxiv.org/abs/2508.06401,unknown,unknown
FolkRAG: a retrieval-augmented generation system for cultural heritage materials,"P Kelly, J Schild, A Jafari",2025,20,"… Our wget pulls followed by either OCR or Whisper transcription resulted in … raw text, embeddings, and all metadata fields established during processing. The system implements memory …",BVEWBvJF11wJ,"P Kelly, J Schild, A Jafari - Neural Computing and Applications, 2025 - Springer",[],https://link.springer.com/article/10.1007/s00521-025-11455-4,unknown,unknown
StructuGraphRAG: Structured document-informed knowledge graphs for retrieval-augmented generation,"X Zhu, X Guo, S Cao, S Li, J Gong",2024,34,"… performance by structuring earnings call transcripts into relationships among financial metrics, … the original text for prompt engineering, and feeding the retrieved data, along with the raw …",f36hQvCg7ioJ,"X Zhu, X Guo, S Cao, S Li, J Gong - Proceedings of the AAAI …, 2024 - ojs.aaai.org",[],https://ojs.aaai.org/index.php/AAAI-SS/article/view/31798,unknown,unknown
Fastrag: Retrieval augmented generation for semi-structured data,"A Abane, A Bekri, A Battou…",2025,16,"… of vector database and LLM, supporting raw log data and various log sources without … into structured formats. Therefore, we introduce schema learning and script learning, where …",ZNXvbmvupJUJ,"A Abane, A Bekri, A Battou… - 2025 IEEE/ACS 22nd …, 2025 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11315184/,unknown,unknown
Modular retrieval-augmented generation for business knowledge management: Key components and evaluation strategies,O Da Pozzo,2025,1,… an external non-parametric memory. By allowing real-time … strategy for retrieving information from meeting transcripts. … This service preprocesses the raw documents before splitting …,IkkV2b8WNe8J,O Da Pozzo - 2025 - aaltodoc.aalto.fi,[],https://aaltodoc.aalto.fi/items/4c26ee12-7774-41d2-9950-1a828f7a97db,unknown,unknown
Chain-of-retrieval augmented generation,"L Wang, H Chen, N Yang, X Huang…",2026,85,"… Tree-of-Thought (ToT) [40] extends the idea of CoT by adopting a tree structure, allowing the … , they should state which ones are omitted from the script and why. • At submission time, to …",aqeJ38A04ZwJ,"L Wang, H Chen, N Yang, X Huang… - Advances in Neural …, 2026 - proceedings.neurips.cc",[],https://proceedings.neurips.cc/paper_files/paper/2025/hash/566aad4fac1acf17fd1ae8c3aef75326-Abstract-Conference.html,unknown,unknown
Survey on Retrieval-Augmented Generation Techniques for Patient Note Summarization and Patient-Specific Querying,"S Chirputkar, V Rahalkar, P Malu…",2026,0,… which rely on parametric memory biased towards internal … sending only model deltas instead of raw patient records [8] … enough to work effectively from transcripts that contain errors. The …,IjP3kcbDKb4J,"S Chirputkar, V Rahalkar, P Malu… - … Conference on Self …, 2026 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11559406/,unknown,unknown
