title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Designing relational agents as long term social companions for older adults,"LP Vardoulakis, L Ring, B Barry, CL Sidner…",2012,239,"… older adults would want to interact day-to-day with an inhome agent companion, we developed a virtual conversational … social isolation in older people: a systematic review. BMC Public …",6h2ciUS8GI0J,"LP Vardoulakis, L Ring, B Barry, CL Sidner… - … intelligent virtual agents, 2012 - Springer",[],https://link.springer.com/chapter/10.1007/978-3-642-33197-8_30,unknown,unknown
Conversational Agents for Older Adults' Health: A Systematic Literature Review,"J An, S Yi, Y Lyu, H Liu, Y Zhang",2025,5,… [21] to examine the long-term effect of CAs on older adults. For papers applying mixed method … This research applied CAs as companions to help alleviate older adults’ loneliness [21…,hJfQLCZ9d1oJ,"J An, S Yi, Y Lyu, H Liu, Y Zhang - arXiv preprint arXiv:2503.23153, 2025 - arxiv.org",[],https://arxiv.org/abs/2503.23153,unknown,unknown
Conversational affective social robots for ageing and dementia support,"MR Lima, M Wairagkar, M Gupta…",2021,97,"… This review aims to fill said gap by surveying conversational … of seniors and PwD, as well as the consequent long-term … system for older adults using a companion robot and cloud,” …",0SqYIkXXnJ0J,"MR Lima, M Wairagkar, M Gupta… - … on Cognitive and …, 2021 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/9548693/,unknown,unknown
The use of conversational interfaces in long term patient care,"L Gunathilaka, W Weerasinghe…",2020,11,… is quantitatively evaluated by elderly long-term patients mainly … and acceptance of conversational interfaces in the research … older people assume the device as their companion. “I …,PH9_UpdYFRYJ,"L Gunathilaka, W Weerasinghe… - … on Advances in ICT …, 2020 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/9325473/,unknown,unknown
"Enhancing Older Adults' Lives with Conversational Agents: A Systematic Review of Contexts, Capabilities, and User-Centered Design Strategies","J Du, T Jin, R Niu, Y Zhai, X Fu",2024,6,"… as to better align CAs with user expectations in the long term. In studies focusing on everyday life, many … Towards designing a ChatGPT conversational companion for elderly people. In …",iyrQHJlMWUgJ,"J Du, T Jin, R Niu, Y Zhai, X Fu - Proceedings of the Twelfth International …, 2024 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3758871.3758891,unknown,unknown
A virtual assistive companion for older adults: design implications for a real-world application,"C Tsiourti, M Ben Moussa, J Quintas, B Loke…",2016,71,"… conversational agents 4 Human-agent interaction 4 Agent … After a brief review of related work, we describe the … fully autonomous long-term interactions, to explore how a companion can …",pAfOKIM-Es0J,"C Tsiourti, M Ben Moussa, J Quintas, B Loke… - Proceedings of SAI …, 2016 - Springer",[],https://link.springer.com/chapter/10.1007/978-3-319-56994-9_69,unknown,unknown
Recommendations for designing conversational companion robots with older adults through foundation models,"B Irfan, S Kuoppamäki, G Skantze",2024,90,"… can be discovered by deploying conversational companion robots at homes in long-term contexts. The … Any product that may be evaluated in this article, or claim that may be made by its …",q-hmWTvTexsJ,"B Irfan, S Kuoppamäki, G Skantze - Frontiers in Robotics and AI, 2024 - frontiersin.org",[],https://www.frontiersin.org/journals/robotics-and-ai/articles/10.3389/frobt.2024.1363713/full,unknown,unknown
Artificial intelligence for older people receiving long-term care: a systematic review of acceptability and effectiveness studies,"K Loveys, M Prina, C Axford, ÒR Domènec…",2022,119,"… and in facilities (residential long-term care facilities, nursing … spaces (eg, conversational agents, facial recognition systems… of companion robots on emotional expression in older adults …",Qfa-1YIcqmQJ,"K Loveys, M Prina, C Axford, ÒR Domènec… - The Lancet Healthy …, 2022 - thelancet.com",[],https://www.thelancet.com/journals/lanhl/article/PIIS26667568(22)00034-4/fulltext,unknown,unknown
Can AI become a friend to older adults? Exploring chatbot interaction design strategies to alleviate social isolation,"S Mingxi, Z Zhifeng",2026,6,"… conversational agents can provide valuable companionship … , long-term interaction with chatbots may enable older adults … conversational agents: An organizing and assessing review of …",4VGRn8jMpvUJ,"S Mingxi, Z Zhifeng - International Journal of Human–Computer …, 2026 - Taylor & Francis",[],https://www.tandfonline.com/doi/abs/10.1080/10447318.2025.2594149,unknown,unknown
Care Over Time: The Long-Term Potential of Socially Interactive Agents for Improving Mental Health and Well-being,"A Antunes, J Campos, J Dias, PA Santos",2026,0,"… This systematic review analyzes 47 studies on autonomous … In personal informatics coaching with conversational agents, … In older adults’ long-term robot hosting, ethical reflections …",graiK5bbaxsJ,"A Antunes, J Campos, J Dias, PA Santos - ACM Transactions on …, 2026 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3816699,unknown,unknown
Social support agents for older adults: longitudinal affective computing in the home,"L Ring, L Shi, K Totzke, T Bickmore",2015,129,"… briefly review prior work on embodied conversational agents … further research is needed to cause long term behavior change. The … of a companion agent by isolated older adults, and to …",8mzxYEXfDdcJ,"L Ring, L Shi, K Totzke, T Bickmore - Journal on Multimodal User …, 2015 - Springer",[],https://link.springer.com/article/10.1007/s12193-014-0157-0,unknown,unknown
"… conversational agents for loneliness, social isolation, depression, and anxiety in older people without cognitive impairment: Systematic review and meta-analysis","Y Satake, H Costello, N Naran, D Ishimaru…",2026,5,"… Further high-quality, long-term studies with rigorous designs are needed to clarify their … Between reality and delusion: Challenges of applying large language models to companion …",pqNPDl49olcJ,"Y Satake, H Costello, N Naran, D Ishimaru… - Psychological …, 2026 - cambridge.org",[],https://www.cambridge.org/core/journals/psychological-medicine/article/autonomous-conversational-agents-for-loneliness-social-isolation-depression-and-anxiety-in-older-people-without-cognitive-impairment-systematic-review-and-metaanalysis/F6E6D9A5C228392CA036B96FDD59C0D9,unknown,unknown
