title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
A systematic review of the use of technology for reminiscence therapy,"A Lazar, H Thompson…",2014,315,"… As the population of older adults grows worldwide, the number of individuals with dementia … Creating digital life stories through activity recognition with image filtering. In Lee Y., Bien ZZ…",MQMqGZvkWMAJ,"A Lazar, H Thompson… - Health education & …, 2014 - journals.sagepub.com",[],https://journals.sagepub.com/doi/abs/10.1177/1090198114537067,unknown,unknown
The effects of virtual reality–based reminiscence therapies for older adults with cognitive impairment: systematic review,"Q Mao, Z Zhao, L Yu, Y Zhao, H Wang",2024,55,"… On the basis of the above-mentioned synthesis, we critically discuss the benefits and challenges of applying VR technologies during RT for older adults with cognitive impairment. …",_iJXNacQqr4J,"Q Mao, Z Zhao, L Yu, Y Zhao, H Wang - Journal of medical Internet research, 2024 - jmir.org",[],https://www.jmir.org/2024/1/e53348/,unknown,unknown
Digital reminiscence therapy in dementia care: a systematic review and meta-analysis,"DK Tran, CJ Hu, YC Kuan",2026,0,… Reminiscence therapy delivery formats for older adults with … Reminiscence therapy using virtual reality technology affects … Digital life storybooks for people with dementia living in care …,fVHx4rqnGeMJ,"DK Tran, CJ Hu, YC Kuan - BMC neurology, 2026 - Springer",[],https://link.springer.com/article/10.1186/s12883-026-04759-y,unknown,unknown
Reminiscence therapy in the treatment of depression in the elderly: current perspectives,"A Khan, A Bleth, M Bakpayev, N Imtiaz",2022,40,… technology into reminiscence therapy. Technology integration in reminiscence therapy has … in a study with college students and institutionalized senior adults [16]. Spiritual or internal …,vjfeXE_8WrsJ,"A Khan, A Bleth, M Bakpayev, N Imtiaz - Journal of Ageing and Longevity, 2022 - mdpi.com",[],https://www.mdpi.com/2673-9259/2/1/4,unknown,unknown
Remembering the past with today's technology: A scoping review of reminiscence-based digital storytelling with older adults,"L Xu, NL Fields, MC Highfill, BA Troutman",2023,24,… of a digital life storybook [8] as part of reminiscence. One example of a digital life storybook is digital storytelling (… Reminiscence therapy acts as a vehicle for older adults to recall their …,VbAUOnyplUUJ,"L Xu, NL Fields, MC Highfill, BA Troutman - Behavioral Sciences, 2023 - mdpi.com",[],https://www.mdpi.com/2076-328X/13/12/998,unknown,unknown
Towards the therapeutic use of information and communication technology in reminiscence work for people with dementia: a systematic review,"P Subramaniam, B Woods",2010,56,… has been ‘reminiscence therapy’ or ‘reminiscence work’. … Life reviews are seen as a mechanism for older adults to … photo album; digital life histories; and interactive life story multimedia. …,JG1lUfoI83sJ,"P Subramaniam, B Woods - International Journal of …, 2010 - inderscienceonline.com",[],https://www.inderscienceonline.com/doi/abs/10.1504/IJCIH.2010.037457,unknown,unknown
Perspectives of older adults and healthcare providers on digital technologies in reminiscence therapy: A qualitative study,"H Yang, Y Jiao, Q Zhong, K Huang, R He…",2026,0,"… attitudes of older adults and healthcare providers toward digital reminiscence technology, participants may exhibit immediate reactions when presented with new digital technologies, …",6Elh87luq-cJ,"H Yang, Y Jiao, Q Zhong, K Huang, R He… - Digital …, 2026 - journals.sagepub.com",[],https://journals.sagepub.com/doi/abs/10.1177/20552076261426310,unknown,unknown
The application of fully immersive virtual reality on reminiscence interventions for older adults: scoping review,"Z Lu, W Wang, W Yan, CL Kew, JH Seo…",2023,41,"… WY and JHS edited the technology-related content. CLK and MO edited the sections related to public health issues, the practice of reminiscence therapies or interventions, and the …",_3sjKqjQOTEJ,"Z Lu, W Wang, W Yan, CL Kew, JH Seo… - JMIR Serious Games, 2023 - games.jmir.org",[],https://games.jmir.org/2023/1/e45539/,unknown,unknown
Virtual reality‐based reminiscence therapy for older adults to improve psychological well‐being and cognition: A systematic review,"WHD Ng, WHD Ang, H Fukahori, YS Goh…",2026,41,… Background: Virtual reality- reminiscence therapy (VR- RT) has increasingly been applied to older adults to improve psychological well- being and cognition. Objective: This review aims …,uJLt1m--znUJ,"WHD Ng, WHD Ang, H Fukahori, YS Goh… - Journal of Clinical …, 2026 - Wiley Online Library",[],https://onlinelibrary.wiley.com/doi/abs/10.1111/jocn.17375,unknown,unknown
The effect of technology-based reminiscence therapy on older adults: A systematic review,"S Esmaeilzadeh, M Aygün…",2026,0,"… review aimed to evaluate the effectiveness of technological applications used in reminiscence therapy among older adults… cognitive functions, quality of life, and mental health outcomes …",OZuEKF6jufgJ,"S Esmaeilzadeh, M Aygün… - Aging Medicine and …, 2026 - journals.lww.com",[],https://journals.lww.com/amah/fulltext/2026/04000/the_effect_of_technology_based_reminiscence.9.aspx?context=latestarticles,unknown,unknown
The effects of virtual reality–based reminiscence therapies for older adults with cognitive impairment: systematic review,"Q Mao, Z Zhao, L Yu, Y Zhao, H Wang",2024,55,"… On the basis of the above-mentioned synthesis, we critically discuss the benefits and challenges of applying VR technologies during RT for older adults with cognitive impairment. …",_iJXNacQqr4J,"Q Mao, Z Zhao, L Yu, Y Zhao, H Wang - Journal of medical Internet research, 2024 - jmir.org",[],https://www.jmir.org/2024/1/e53348/,unknown,unknown
Digital reminiscence therapy in dementia care: a systematic review and meta-analysis,"DK Tran, CJ Hu, YC Kuan",2026,0,… Reminiscence therapy delivery formats for older adults with … Reminiscence therapy using virtual reality technology affects … Digital life storybooks for people with dementia living in care …,fVHx4rqnGeMJ,"DK Tran, CJ Hu, YC Kuan - BMC neurology, 2026 - Springer",[],https://link.springer.com/article/10.1186/s12883-026-04759-y,unknown,unknown
Reminiscence therapy in the treatment of depression in the elderly: current perspectives,"A Khan, A Bleth, M Bakpayev, N Imtiaz",2022,40,… technology into reminiscence therapy. Technology integration in reminiscence therapy has … in a study with college students and institutionalized senior adults [16]. Spiritual or internal …,vjfeXE_8WrsJ,"A Khan, A Bleth, M Bakpayev, N Imtiaz - Journal of Ageing and Longevity, 2022 - mdpi.com",[],https://www.mdpi.com/2673-9259/2/1/4,unknown,unknown
Remembering the past with today's technology: A scoping review of reminiscence-based digital storytelling with older adults,"L Xu, NL Fields, MC Highfill, BA Troutman",2023,24,… of a digital life storybook [8] as part of reminiscence. One example of a digital life storybook is digital storytelling (… Reminiscence therapy acts as a vehicle for older adults to recall their …,VbAUOnyplUUJ,"L Xu, NL Fields, MC Highfill, BA Troutman - Behavioral Sciences, 2023 - mdpi.com",[],https://www.mdpi.com/2076-328X/13/12/998,unknown,unknown
