title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Online coreference resolution for dialogue processing: Improving mention-linking on real-time conversations,"L Xu, JD Choi",2022,8,"… To capture subtle nuances from different speakers in the dialogue, we collect speaker … a new coreference resolution direction that aims towards an online decoding setting for dialogue …",JARvEeky7yoJ,"L Xu, JD Choi - Proceedings of the 11th Joint Conference on …, 2022 - aclanthology.org",[],https://aclanthology.org/2022.starsem-1.30/,unknown,unknown
Robust coreference resolution and entity linking on dialogues: Character identification on tv show transcripts,"HY Chen, E Zhou, JD Choi",2017,50,"… a speaker in the dialogue. For the example in Table 1, the mention comedian is not one of the speakers in the dialogue… person that may appear in some other dialogues. Identifying such …",ZcZfS13B_qIJ,"HY Chen, E Zhou, JD Choi - Proceedings of the 21st conference …, 2017 - aclanthology.org",[],https://aclanthology.org/K17-1023/,unknown,unknown
Coreference-aware dialogue summarization,"Z Liu, K Shi, N Chen",2021,84,"… , speaker entities could be wrongly clustered. Based on the observation, to improve the overall quality of dialogue coreference resolution, … ) and the edges (links between mentions), we …",TZ5-b3UBn_kJ,"Z Liu, K Shi, N Chen - … interest group on discourse and dialogue, 2021 - aclanthology.org",[],https://aclanthology.org/2021.sigdial-1.53/,unknown,unknown
Joint coreference resolution and character linking for multiparty conversation,"J Bai, H Zhang, Y Song, K Xu",2021,12,"… representations for mentions. As speaker information is critical for the conversation under… , we also include that information by appending speaker embeddings to each mention. As …",LTQQyUregu8J,"J Bai, H Zhang, Y Song, K Xu - … of the 16th Conference of the …, 2021 - aclanthology.org",[],https://aclanthology.org/2021.eacl-main.43/,unknown,unknown
BERT for coreference resolution: Baselines and analysis,"M Joshi, O Levy, L Zettlemoyer…",2019,505,"… (x, y) represents speaker and metadata … dialog structure of the document. Lastly, a considerable number of errors suggest that models are still unable to resolve cases requiring mention …",AvceKSdSlK4J,"M Joshi, O Levy, L Zettlemoyer… - Proceedings of the 2019 …, 2019 - aclanthology.org",[],https://aclanthology.org/D19-1588/,unknown,unknown
What you see is what you get: Visual pronoun coreference resolution in dialogues,"X Yu, H Zhang, Y Song, Y Song…",2019,45,"… For example, when people in a conversation talk about something all speakers can see, they often directly use pronouns (eg, it) to refer to it without previous introduction. This fact …",xzXCXbGrfAEJ,"X Yu, H Zhang, Y Song, Y Song… - Proceedings of the 2019 …, 2019 - aclanthology.org",[],https://aclanthology.org/D19-1516/,unknown,unknown
"Deterministic coreference resolution based on entity-centric, precision-ranked rules","H Lee, A Chang, Y Peirsman, N Chambers…",2013,636,"… speaker. In general, in all the coreference resolution sieves we traverse mentions left-to-right in … linking two pronouns, however, if one appears within quotes. This is a simple heuristic for …",cPQt-3kMPTkJ,"H Lee, A Chang, Y Peirsman, N Chambers… - Computational …, 2013 - aclanthology.org",[],https://aclanthology.org/J13-4004.pdf,unknown,unknown
CorefQA: Coreference resolution as query-based span prediction,"W Wu, F Wang, A Yuan, F Wu, J Li",2020,259,"… two mentions are from the same speaker. However, we use a straightforward strategy that directly concatenates the speaker… dialogue modeling that use persona information to represent …",vWwONW5zvbIJ,"W Wu, F Wang, A Yuan, F Wu, J Li - … of the 58th annual meeting of …, 2020 - aclanthology.org",[],https://aclanthology.org/2020.acl-main.622/,unknown,unknown
End-to-end neural coreference resolution,"K Lee, L He, M Lewis, L Zettlemoyer",2017,1359,… -art coreference resolution model that is learned end-to-end given only gold mention clusters. … Feature encoding We encode speaker information as a binary feature indicating whether a …,AF6kHRjM_vgJ,"K Lee, L He, M Lewis, L Zettlemoyer - Proceedings of the 2017 …, 2017 - aclanthology.org",[],https://aclanthology.org/D17-1018/,unknown,unknown
End-to-end neural coreference resolution revisited: A simple yet effective baseline,"TM Lai, T Bui, DS Kim",2022,24,"… Coreference resolution is the task of clustering mentions in text that refer to the same … In this work, we employ a more intuitive strategy that directly concatenates the speaker’s name with …",r2aiPX7C1E8J,"TM Lai, T Bui, DS Kim - ICASSP 2022-2022 IEEE International …, 2022 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/9746254/,unknown,unknown
