title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Contemplating digital end-of-life planning,"CJ Sofka, A Gibson",2017,40,"… of technology for these purposes. One scenario highlighted that the availability of mechanisms to preserve one's digital legacy … introduced the term'thanatosensitive design', encouraging …",lKkOntTwwUUJ,"CJ Sofka, A Gibson - Postmortal society: Towards a sociology of …, 2017 - books.google.com",[],https://books.google.com/books?hl=en&lr=&id=6UMlDwAAQBAJ&oi=fnd&pg=PA173&dq=digital+legacy+thanatosensitive+design+end+of+life+technology&ots=pHWZNNGuAq&sig=_FTRlyTG-6p8gBhowDYFsuSnemE,unknown,unknown
"Dying, death, and the afterlife in human-computer interaction. A Scoping review.","R Albers, S Sadeghian, M Laschke…",2023,55,"… the term ""thanatosensitivity"" refers to technology design that ad… make sense of their ending life. Dying requires people to make … While a digital legacy might be important to some people, …",8hCXrnUl9JIJ,"R Albers, S Sadeghian, M Laschke… - Proceedings of the 2023 …, 2023 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3544548.3581199,unknown,unknown
The transition from life to the digital afterlife: Thanatechnology and its impact on grief,C Sofka,2020,46,… As the evolution of digital technology and artificial … for their digital legacies and to contemplate their Digital Afterlives. … and digital legacy platforms to utilise ‘thanatosensitive design—a …,BhdK980EY7wJ,"C Sofka - Digital afterlife, 2020 - api.taylorfrancis.com",[],https://api.taylorfrancis.com/content/chapters/edit/download?identifierName=doi&identifierValue=10.1201/9780429322198-5&type=chapterpdf,unknown,unknown
"“Focus on social experiences while alive, not who will see me after I die”: A study on the tension between end-of-life loneliness and the mechanisms of digital legacy","Y Meng, L Ye, Y Guan, H Mi",2026,2,"… in digital legacy mechanisms fail in the specific context of lonely terminally ill individuals, and derive design … the six digital legacy mechanisms as distinct technological offerings with …",SA57Tv1F6U8J,"Y Meng, L Ye, Y Guan, H Mi - Proc. EUSSET Conf. on Computer …, 2026 - dl.eusset.eu",[],https://dl.eusset.eu/items/01dd6519-acc9-4a6f-996c-42979a3362e8,unknown,unknown
The future of digital death,DJ Bassett,2022,9,"… with compassion and thanatosensitivity in mind, in an effort to … 1 as digital legacies and digital assets. Policymakers and … DAI, as the technologies behind the creation of digital afterlives …",S4FKNqTXU8cJ,"DJ Bassett - … Creation and Inheritance of Digital Afterlives: You Only …, 2022 - Springer",[],https://link.springer.com/chapter/10.1007/978-3-030-91684-8_7,unknown,unknown
Intergenerational User Experience with Digital Memorial Artefacts,V Ip,2021,2,"… of thanatosensitivity (a research field on death and technology) … Digital legacy: an e-monetary value that was left behind after … School of Design, once said, “designing for the end of life is …",WLPfaDwWGlAJ,V Ip - 2021 - carleton.scholaris.ca,[],https://carleton.scholaris.ca/bitstreams/0a73754c-e4f4-4808-a8f8-5b7cb504f075/download,unknown,unknown
Remains in the Network: Reconsidering Thanatosensitive Design in Loss,SE Gray,2015,9,"… , designing and developing thanatosensitive technologies within sensitive end-of-life contexts (… for the presence of the dead or the digital afterlife,14 designing for digital legacy or …",xl_vYUK43sMJ,SE Gray - 2015 - search.proquest.com,[],https://search.proquest.com/openview/29f8eab081c83e428c765a2219932ae6/1?pq-origsite=gscholar&cbl=18750&diss=y,unknown,unknown
Digital legacy systems for young adults: Emphasizing relationship-oriented perspectives and physical artifacts in death preparation,"S Kwon, H Jo, S Ryu, JR Do, HJ Lee, JH Lee…",2025,3,"… -preparation technologies, we focus on digital legacy curation systems. Digital legacy is the digital … Noticeable points of discussion include thanatosensitive design (system designs that …",khTszb-_EI8J,"S Kwon, H Jo, S Ryu, JR Do, HJ Lee, JH Lee… - Proceedings of the …, 2025 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3706598.3713764,unknown,unknown
"Dying, Death, and the Afterlife in Human-Computer Interaction. A Scoping","R ALBERS, S SADEGHIAN, M LASCHKE…",2023,0,"… , the term ""thanatosensitivity"" refers to technology design that … make sense of their ending life. Dying requires people to make … While a digital legacy might be important to some people, …",csrJ41872cYJ,"R ALBERS, S SADEGHIAN, M LASCHKE… - 2023 - researchgate.net",[],https://www.researchgate.net/profile/Ruben-Albers/publication/370180628_Dying_Death_and_the_Afterlife_in_Human-Computer_Interaction_A_Scoping_Review/links/659d51163c472d2e8ec1c61b/Dying-Death-and-the-Afterlife-in-Human-Computer-Interaction-A-Scoping-Review.pdf,unknown,unknown
An exploratory study of digital legacy among death aware people,A Waagstein,2014,20,"… in Thanatosensitive research field, concerning digital legacy … Respondent F: I’m not a particularly tech savvy, but I think it’sa … studies) and HCI research and design, with a focus on the …",tx3JgtkAhEsJ,"A Waagstein - Thanatos, 2014 - journal.fi",[],https://journal.fi/thanatos/article/view/137377,unknown,unknown
