title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Long time no see! open-domain conversation with long-term persona memory,"X Xu, Z Gou, W Wu, ZY Niu, H Wu…",2022,199,"… speaker is not covered in the given personal information, the reply can be freely used; if there is any reference or related information in the given personal information, reply according it. …",kKbcMwG2TYsJ,"X Xu, Z Gou, W Wu, ZY Niu, H Wu… - Findings of the …, 2022 - aclanthology.org",[],https://aclanthology.org/2022.findings-acl.207/,unknown,unknown
Challenges in building intelligent open-domain dialog systems,"M Huang, X Zhu, J Gao",2020,494,… integrate a personal knowledge base and user interests in dialog system. Bang et al. [8] extended the user input by exploiting examples retrieved from her personal knowledge base to …,-1gDHpyxCl4J,"M Huang, X Zhu, J Gao - ACM Transactions on Information Systems …, 2020 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3383123,unknown,unknown
"Generating, retrieving persona and generating responses for long-term open-domain dialogue","D Cha, D Lee, J Kim",2025,0,"… information within the dialogue history is helpful for generating responses in open-domain dialogue… and contextually appropriate responses in open-domain dialogue. To clarify, we …",LmgaY2y7peUJ,"D Cha, D Lee, J Kim - PeerJ Computer Science, 2025 - peerj.com",[],https://peerj.com/articles/cs-2979/,unknown,unknown
Profile consistency identification for open-domain dialogue agents,"H Song, Y Wang, WN Zhang, Z Zhao…",2020,37,… We leverage the structure information in profiles to enrich the BERT representations and … of open-domain dialogue consistency. Although there has been a lot of dialogue generation …,GdiQGkxA0tMJ,"H Song, Y Wang, WN Zhang, Z Zhao… - Proceedings of the …, 2020 - aclanthology.org",[],https://aclanthology.org/2020.emnlp-main.539/,unknown,unknown
Topical-chat: Towards knowledge-grounded open-domain conversations,"K Gopalakrishnan, B Hedayatnia, Q Chen…",2023,453,"… Section 1-4 and/or Personal Knowledge) and rate the quality of … , an open-domain knowledgegrounded conversation dataset … in open-domain knowledge-grounded conversational …",15mkYAaZCjQJ,"K Gopalakrishnan, B Hedayatnia, Q Chen… - arXiv preprint arXiv …, 2023 - arxiv.org",[],https://arxiv.org/abs/2308.11995,unknown,unknown
Know deeper: Knowledge-conversation cyclic utilization mechanism for open-domain dialogue generation,"Y Sun, Y Hu, L Xing, Y Xie, X Wei",2021,3,… Existing dialogue models pay attention to unilaterally incorporating personal knowledge into the dialog … -related conversation information into personal knowledge taken as the bilateral …,115O7GdPT3gJ,"Y Sun, Y Hu, L Xing, Y Xie, X Wei - arXiv preprint arXiv:2107.07771, 2021 - arxiv.org",[],https://arxiv.org/abs/2107.07771,unknown,unknown
The dialogue dodecathlon: Open-domain knowledge and image grounded conversational agents,"K Shuster, D Ju, S Roller, E Dinan…",2020,98,… The training data involves paired crowdworkers having a conversation where they get to know … them in friendly conversation – useful skills for an open-domain conversational agent. …,eLyKDwmdFTUJ,"K Shuster, D Ju, S Roller, E Dinan… - Proceedings of the …, 2020 - aclanthology.org",[],https://aclanthology.org/2020.acl-main.222/,unknown,unknown
Multi-sentence knowledge selection in open-domain dialogue,"M Eric, N Chartier, B Hedayatnia…",2021,17,"… on knowledge sources to simplify the overall task (Dinan et al.… knowledge sentence per context. In this work, we evaluate the existing state of open-domain conversation knowledge …",QsdHhNVnw0gJ,"M Eric, N Chartier, B Hedayatnia… - Proceedings of the …, 2021 - aclanthology.org",[],https://aclanthology.org/2021.inlg-1.9/,unknown,unknown
Unstructured text enhanced open-domain dialogue system: A systematic survey,"L Ma, M Li, WN Zhang, J Li, T Liu",2021,35,"… benefit the performance of an open-domain Dialogue System (DS), … open-domain DS that uses unstructured text as external knowledge sources (Unstructured Text Enhanced Dialogue …",46hKVj355F8J,"L Ma, M Li, WN Zhang, J Li, T Liu - ACM Transactions on Information …, 2021 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3464377,unknown,unknown
Utilizing External and Internal Knowledge for Engaging Open-Domain Dialogue Response Generation,R Choudhary,2023,0,"… of knowledge into generative open-domain dialogue systems, a … Addressing the root issue of an inherent knowledge deficit, we … Additional contexts include personal information like …",r04AY26pQxoJ,R Choudhary - 2023 - waseda.repo.nii.ac.jp,[],https://waseda.repo.nii.ac.jp/record/2000935/files/t5121fg29.pdf,unknown,unknown
